"Content ID","User ID","category","Type","Reaction Type","datetime","sentiment","score"
"4e4c9690-c013-4ee7-9e66-943d8cbd27b7","b9bcd994-f000-4f6b-87fc-caae08acfaa1","Culture","Gif","Heart","2021-02-25 11:06:11","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2021-05-12 21:26:24","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2020-07-06 09:26:17","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2021-02-07 19:05:34","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2020-11-03 20:51:07","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2020-10-10 03:26:02","positive",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","35d6a1f3-e358-4d4b-8074-05f3b7f35c2a","Veganism","Audio","Heart","2021-06-09 06:52:54","positive",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2ab641a8-6ad4-4d1a-8511-d87ff5346773","Science","Photo","Heart","2020-06-30 04:11:55","positive",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2ab641a8-6ad4-4d1a-8511-d87ff5346773","Science","Photo","Heart","2020-09-07 02:53:48","positive",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2ab641a8-6ad4-4d1a-8511-d87ff5346773","Science","Photo","Heart","2021-01-02 05:20:32","positive",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","fb4654ff-ce23-4a77-b52a-50f8948b5664","Veganism","Photo","Heart","2020-07-22 15:41:04","positive",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","fb4654ff-ce23-4a77-b52a-50f8948b5664","Veganism","Photo","Heart","2021-01-01 12:52:35","positive",60
